Journey_ID,Journey_Date,Departure_Time,Arrival_Time,Actual_Arrival_Time,Reason_for_Delay,Duration_Time,Delay_Period,journey_key
1,2024-01-01,11:00:00,13:30:00,13:30:00,No Delay,150.0,0.0,2024-01-01_11:00:00
2,2024-01-01,09:45:00,11:35:00,11:40:00,Signal Failure,110.0,5.0,2024-01-01_09:45:00
3,2024-01-02,18:15:00,18:45:00,18:45:00,No Delay,30.0,0.0,2024-01-02_18:15:00
4,2024-01-01,21:30:00,22:30:00,22:30:00,No Delay,60.0,0.0,2024-01-01_21:30:00
5,2024-01-01,16:45:00,19:00:00,19:00:00,No Delay,135.0,0.0,2024-01-01_16:45:00
6,2024-01-01,06:15:00,08:05:00,08:05:00,No Delay,110.0,0.0,2024-01-01_06:15:00
7,2024-01-01,22:30:00,23:40:00,23:40:00,No Delay,70.0,0.0,2024-01-01_22:30:00
8,2024-01-01,00:00:00,00:30:00,00:30:00,No Delay,30.0,0.0,2024-01-01_00:00:00
9,2024-01-01,00:00:00,01:50:00,02:07:00,Signal Failure,110.0,17.0,2024-01-01_00:00:00
10,2024-01-01,01:30:00,02:30:00,02:30:00,No Delay,60.0,0.0,2024-01-01_01:30:00
11,2024-01-01,01:45:00,02:35:00,02:35:00,No Delay,50.0,0.0,2024-01-01_01:45:00
12,2024-01-01,02:15:00,03:15:00,03:15:00,No Delay,60.0,0.0,2024-01-01_02:15:00
13,2024-01-01,04:15:00,04:45:00,04:45:00,No Delay,30.0,0.0,2024-01-01_04:15:00
14,2024-01-01,05:00:00,05:30:00,05:30:00,No Delay,30.0,0.0,2024-01-01_05:00:00
15,2024-01-01,06:30:00,07:50:00,07:50:00,No Delay,80.0,0.0,2024-01-01_06:30:00
16,2024-01-01,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-01_07:45:00
17,2024-01-01,07:45:00,08:45:00,08:45:00,No Delay,60.0,0.0,2024-01-01_07:45:00
18,2024-01-01,07:30:00,08:50:00,08:50:00,No Delay,80.0,0.0,2024-01-01_07:30:00
19,2024-01-01,07:30:00,09:20:00,09:20:00,No Delay,110.0,0.0,2024-01-01_07:30:00
20,2024-01-01,09:00:00,10:50:00,10:50:00,No Delay,110.0,0.0,2024-01-01_09:00:00
21,2024-01-01,11:15:00,12:35:00,13:06:00,Technical Issue,80.0,31.0,2024-01-01_11:15:00
22,2024-01-01,10:30:00,11:00:00,11:00:00,No Delay,30.0,0.0,2024-01-01_10:30:00
23,2024-01-01,09:30:00,11:20:00,11:20:00,No Delay,110.0,0.0,2024-01-01_09:30:00
24,2024-01-01,12:45:00,14:05:00,14:05:00,No Delay,80.0,0.0,2024-01-01_12:45:00
25,2024-01-01,13:15:00,14:35:00,14:35:00,No Delay,80.0,0.0,2024-01-01_13:15:00
26,2024-01-01,13:45:00,16:00:00,16:00:00,No Delay,135.0,0.0,2024-01-01_13:45:00
27,2024-01-01,14:15:00,15:30:00,15:54:00,Signal Failure,75.0,24.0,2024-01-01_14:15:00
