Time_ID,Purchase_Date,Time_of_Purchase,Day,Month,Year,time_key,Hour_of_Day
1,2023-12-08,1970-01-01 12:41:11,8,12,2023,2023-12-08_12:41:11,12
2,2023-12-16,1970-01-01 11:23:01,16,12,2023,2023-12-16_11:23:01,11
3,2023-12-19,1970-01-01 19:51:27,19,12,2023,2023-12-19_19:51:27,19
4,2023-12-20,1970-01-01 23:00:36,20,12,2023,2023-12-20_23:00:36,23
5,2023-12-27,1970-01-01 18:22:56,27,12,2023,2023-12-27_18:22:56,18
6,2023-12-30,1970-01-01 07:56:06,30,12,2023,2023-12-30_7:56:06,7
7,2023-12-31,1970-01-01 00:02:01,31,12,2023,2023-12-31_0:02:01,0
8,2023-12-31,1970-01-01 01:35:18,31,12,2023,2023-12-31_1:35:18,1
9,2023-12-31,1970-01-01 01:43:09,31,12,2023,2023-12-31_1:43:09,1
10,2023-12-31,1970-01-01 03:05:52,31,12,2023,2023-12-31_3:05:52,3
11,2023-12-31,1970-01-01 03:26:37,31,12,2023,2023-12-31_3:26:37,3
12,2023-12-31,1970-01-01 03:52:11,31,12,2023,2023-12-31_3:52:11,3
13,2023-12-31,1970-01-01 05:55:22,31,12,2023,2023-12-31_5:55:22,5
14,2023-12-31,1970-01-01 06:44:35,31,12,2023,2023-12-31_6:44:35,6
15,2023-12-31,1970-01-01 08:05:50,31,12,2023,2023-12-31_8:05:50,8
16,2023-12-31,1970-01-01 08:16:53,31,12,2023,2023-12-31_8:16:53,8
17,2023-12-31,1970-01-01 08:23:15,31,12,2023,2023-12-31_8:23:15,8
18,2023-12-31,1970-01-01 09:09:20,31,12,2023,2023-12-31_9:09:20,9
19,2023-12-31,1970-01-01 09:12:21,31,12,2023,2023-12-31_9:12:21,9
20,2023-12-31,1970-01-01 10:42:22,31,12,2023,2023-12-31_10:42:22,10
21,2023-12-31,1970-01-01 11:57:15,31,12,2023,2023-12-31_11:57:15,11
22,2023-12-31,1970-01-01 12:11:47,31,12,2023,2023-12-31_12:11:47,12
23,2023-12-31,1970-01-01 13:33:39,31,12,2023,2023-12-31_13:33:39,13
24,2023-12-31,1970-01-01 14:23:09,31,12,2023,2023-12-31_14:23:09,14
25,2023-12-31,1970-01-01 14:53:44,31,12,2023,2023-12-31_14:53:44,14
26,2023-12-31,1970-01-01 15:19:53,31,12,2023,2023-12-31_15:19:53,15
27,2023-12-31,1970-01-01 15:53:46,31,12,2023,2023-12-31_15:53:46,15
28,2023-12-31,1970-01-01 16:44:05,31,12,2023,2023-12-31_16:44:05,16
29,2023-12-31,1970-01-01 18:01:58,31,12,2023,2023-12-31_18:01:58,18
30,2023-12-31,1970-01-01 18:39:00,31,12,2023,2023-12-31_18:39:00,18
31,2023-12-31,1970-01-01 19:33:15,31,12,2023,2023-12-31_19:33:15,19
32,2023-12-31,1970-01-01 19:45:53,31,12,2023,2023-12-31_19:45:53,19
33,2023-12-31,1970-01-01 20:20:25,31,12,2023,2023-12-31_20:20:25,20
34,2023-12-31,1970-01-01 20:21:58,31,12,2023,2023-12-31_20:21:58,20
35,2024-01-01,1970-01-01 01:10:20,1,1,2024,2024-01-01_1:10:20,1
36,2024-01-01,1970-01-01 01:16:20,1,1,2024,2024-01-01_1:16:20,1
37,2024-01-01,1970-01-01 03:02:34,1,1,2024,2024-01-01_3:02:34,3
38,2024-01-01,1970-01-01 03:03:49,1,1,2024,2024-01-01_3:03:49,3
39,2024-01-01,1970-01-01 03:35:48,1,1,2024,2024-01-01_3:35:48,3
40,2024-01-01,1970-01-01 03:52:29,1,1,2024,2024-01-01_3:52:29,3
41,2024-01-01,1970-01-01 04:09:42,1,1,2024,2024-01-01_4:09:42,4
42,2024-01-01,1970-01-01 04:31:41,1,1,2024,2024-01-01_4:31:41,4
43,2024-01-01,1970-01-01 04:54:54,1,1,2024,2024-01-01_4:54:54,4
44,2024-01-01,1970-01-01 05:05:29,1,1,2024,2024-01-01_5:05:29,5
45,2024-01-01,1970-01-01 05:07:28,1,1,2024,2024-01-01_5:07:28,5
46,2024-01-01,1970-01-01 05:09:30,1,1,2024,2024-01-01_5:09:30,5
47,2024-01-01,1970-01-01 05:14:54,1,1,2024,2024-01-01_5:14:54,5
48,2024-01-01,1970-01-01 05:17:46,1,1,2024,2024-01-01_5:17:46,5
49,2024-01-01,1970-01-01 06:08:28,1,1,2024,2024-01-01_6:08:28,6
50,2024-01-01,1970-01-01 06:14:16,1,1,2024,2024-01-01_6:14:16,6
51,2024-01-01,1970-01-01 06:18:48,1,1,2024,2024-01-01_6:18:48,6
52,2024-01-01,1970-01-01 06:34:08,1,1,2024,2024-01-01_6:34:08,6
53,2024-01-01,1970-01-01 06:41:14,1,1,2024,2024-01-01_6:41:14,6
54,2024-01-01,1970-01-01 06:48:45,1,1,2024,2024-01-01_6:48:45,6
55,2024-01-01,1970-01-01 07:20:14,1,1,2024,2024-01-01_7:20:14,7
56,2024-01-01,1970-01-01 07:23:47,1,1,2024,2024-01-01_7:23:47,7
57,2024-01-01,1970-01-01 07:46:41,1,1,2024,2024-01-01_7:46:41,7
58,2024-01-01,1970-01-01 08:12:21,1,1,2024,2024-01-01_8:12:21,8
59,2024-01-01,1970-01-01 08:14:05,1,1,2024,2024-01-01_8:14:05,8
60,2024-01-01,1970-01-01 08:26:41,1,1,2024,2024-01-01_8:26:41,8
61,2024-01-01,1970-01-01 09:18:59,1,1,2024,2024-01-01_9:18:59,9
62,2024-01-01,1970-01-01 09:30:09,1,1,2024,2024-01-01_9:30:09,9
63,2024-01-01,1970-01-01 10:17:33,1,1,2024,2024-01-01_10:17:33,10
64,2024-01-01,1970-01-01 11:55:41,1,1,2024,2024-01-01_11:55:41,11
65,2024-01-01,1970-01-01 12:54:54,1,1,2024,2024-01-01_12:54:54,12
66,2024-01-01,1970-01-01 14:02:52,1,1,2024,2024-01-01_14:02:52,14
67,2024-01-01,1970-01-01 14:30:03,1,1,2024,2024-01-01_14:30:03,14
68,2024-01-01,1970-01-01 14:42:17,1,1,2024,2024-01-01_14:42:17,14
69,2024-01-01,1970-01-01 15:39:11,1,1,2024,2024-01-01_15:39:11,15
70,2024-01-01,1970-01-01 15:45:47,1,1,2024,2024-01-01_15:45:47,15
71,2024-01-01,1970-01-01 16:03:03,1,1,2024,2024-01-01_16:03:03,16
72,2024-01-01,1970-01-01 16:41:05,1,1,2024,2024-01-01_16:41:05,16
73,2024-01-01,1970-01-01 17:02:28,1,1,2024,2024-01-01_17:02:28,17
74,2024-01-01,1970-01-01 17:11:31,1,1,2024,2024-01-01_17:11:31,17
75,2024-01-01,1970-01-01 17:17:53,1,1,2024,2024-01-01_17:17:53,17
76,2024-01-01,1970-01-01 17:43:02,1,1,2024,2024-01-01_17:43:02,17
77,2024-01-01,1970-01-01 18:39:18,1,1,2024,2024-01-01_18:39:18,18
78,2024-01-01,1970-01-01 19:32:26,1,1,2024,2024-01-01_19:32:26,19
79,2024-01-01,1970-01-01 19:33:56,1,1,2024,2024-01-01_19:33:56,19
80,2024-01-01,1970-01-01 20:22:05,1,1,2024,2024-01-01_20:22:05,20
81,2024-01-01,1970-01-01 20:24:38,1,1,2024,2024-01-01_20:24:38,20
82,2024-01-01,1970-01-01 20:54:46,1,1,2024,2024-01-01_20:54:46,20
83,2024-01-01,1970-01-01 21:46:29,1,1,2024,2024-01-01_21:46:29,21
84,2024-01-01,1970-01-01 21:52:50,1,1,2024,2024-01-01_21:52:50,21
85,2024-01-01,1970-01-01 22:44:51,1,1,2024,2024-01-01_22:44:51,22
86,2024-01-01,1970-01-01 23:06:07,1,1,2024,2024-01-01_23:06:07,23
87,2024-01-02,1970-01-01 00:14:32,2,1,2024,2024-01-02_0:14:32,0
88,2024-01-02,1970-01-01 00:24:08,2,1,2024,2024-01-02_0:24:08,0
89,2024-01-02,1970-01-01 00:26:21,2,1,2024,2024-01-02_0:26:21,0
90,2024-01-02,1970-01-01 00:27:40,2,1,2024,2024-01-02_0:27:40,0
91,2024-01-02,1970-01-01 00:37:20,2,1,2024,2024-01-02_0:37:20,0
92,2024-01-02,1970-01-01 00:54:33,2,1,2024,2024-01-02_0:54:33,0
93,2024-01-02,1970-01-01 01:01:01,2,1,2024,2024-01-02_1:01:01,1
94,2024-01-02,1970-01-01 01:11:57,2,1,2024,2024-01-02_1:11:57,1
95,2024-01-02,1970-01-01 01:17:27,2,1,2024,2024-01-02_1:17:27,1
96,2024-01-02,1970-01-01 01:19:18,2,1,2024,2024-01-02_1:19:18,1
97,2024-01-02,1970-01-01 01:22:25,2,1,2024,2024-01-02_1:22:25,1
98,2024-01-02,1970-01-01 01:26:15,2,1,2024,2024-01-02_1:26:15,1
99,2024-01-02,1970-01-01 01:40:08,2,1,2024,2024-01-02_1:40:08,1
100,2024-01-02,1970-01-01 01:51:12,2,1,2024,2024-01-02_1:51:12,1
101,2024-01-02,1970-01-01 01:52:53,2,1,2024,2024-01-02_1:52:53,1
102,2024-01-02,1970-01-01 02:13:53,2,1,2024,2024-01-02_2:13:53,2
