Transaction_ID,Purchase_Type,Payment_Method,Railcard,Ticket_Class,Ticket_Type,Price,Journey_Status,Departure_Station_ID,Arrival_Station_ID,Time_ID,Journey_ID,Refund_Request
da8a6ba8-b3dc-4677-b176,Online,Contactless,Adult,Standard,Advance,43,On Time,16,13,1,1,No
b0cdd1b0-f214-4197-be53,Station,Credit Card,Adult,Standard,Advance,23,Delayed,15,32,2,2,No
f3ba7a96-f713-40d9-9629,Online,Credit Card,None,Standard,Advance,3,On Time,13,19,3,3,No
b2471f11-4fe7-4c87-8ab4,Station,Credit Card,None,Standard,Advance,13,On Time,16,24,4,4,No
2be00b45-0762-485e-a7a3,Online,Contactless,None,Standard,Advance,76,On Time,13,14,5,5,No
4e1dcd88-3d95-44ef-99fa,Online,Credit Card,None,Standard,Advance,35,On Time,15,32,6,6,No
1c74479d-85a4-4ba1-a607,Station,Credit Card,Adult,Standard,Advance,2,On Time,14,22,7,7,No
febf8dab-f808-46fa-bf2b,Station,Contactless,Disabled,Standard,Advance,2,On Time,13,19,8,8,No
01df916f-4291-41ec-a37d,Station,Credit Card,None,Standard,Advance,37,Delayed,14,32,9,9,No
a8cedba7-1923-459d-b046,Online,Credit Card,None,Standard,Advance,13,On Time,16,24,10,10,No
b3e5ca7d-e76c-49f2-b49f,Online,Contactless,None,Standard,Advance,8,On Time,32,8,11,11,No
6c63f7ac-d590-4356-9eaa,Online,Contactless,Adult,Standard,Advance,8,On Time,16,24,12,12,No
2e7add75-566a-41aa-9468,Online,Contactless,None,Standard,Advance,3,On Time,19,13,13,13,No
7ed9b545-eb6f-49b2-9b5a,Online,Contactless,None,Standard,Advance,3,On Time,19,13,14,14,No
2e05e2a6-88a8-40fb-bacc,Online,Credit Card,Disabled,Standard,Advance,15,On Time,1,17,15,15,No
8a18d3b4-995e-49bf-93a3,Online,Credit Card,None,Standard,Advance,13,On Time,16,24,16,16,No
7493a611-342a-4b17-90dc,Online,Credit Card,None,Standard,Advance,13,On Time,16,24,17,17,No
054676ac-a976-4909-a26e,Online,Credit Card,None,Standard,Advance,8,On Time,17,1,18,18,No
6b62b452-c491-468d-b39c,Online,Credit Card,None,Standard,Advance,35,On Time,15,32,19,19,No
85e38992-6c6c-4569-914e,Online,Credit Card,None,Standard,Advance,35,On Time,15,32,20,20,No
8dfbf0fc-aea0-424f-b30e,Station,Debit Card,Adult,Standard,Advance,7,Delayed,1,19,21,21,Yes
a478f358-044d-4000-b70e,Station,Credit Card,Disabled,Standard,Advance,2,On Time,13,19,22,22,No
d4ea6940-7228-41ef-9eae,Online,Credit Card,Senior,Standard,Advance,23,On Time,15,32,23,23,No
89f2160c-666b-4925-86b6,Station,Contactless,None,Standard,Advance,7,On Time,14,1,24,24,No
fd00a134-7056-441c-919f,Online,Credit Card,None,Standard,Advance,7,On Time,14,1,25,25,No
842da93c-b820-42dc-ad4f,Online,Contactless,None,Standard,Advance,86,On Time,19,16,26,26,No
74462231-5241-46f4-8328,Online,Credit Card,Senior,First Class,Advance,34,Delayed,22,2,27,27,Yes
7267c284-5f19-41ef-8350,Station,Credit Card,None,Standard,Advance,13,On Time,16,24,28,28,No
3c375a4c-7ba3-45e9-a9cd,Online,Contactless,None,Standard,Advance,7,On Time,14,1,29,29,No
5b0638b1-ee1d-4a6f-8c29,Online,Credit Card,None,First Class,Advance,57,On Time,15,32,30,30,No
e40c1f61-b648-41c2-8151,Station,Debit Card,None,Standard,Advance,8,On Time,17,1,31,31,No
aa40e9b5-3ab7-4d40-a949,Online,Credit Card,None,Standard,Advance,13,On Time,16,24,32,32,No
be8bee7f-2e6f-450e-90ed,Station,Contactless,None,Standard,Advance,35,On Time,15,32,33,33,No
14792f87-d2ad-47be-8cdb,Online,Credit Card,None,Standard,Advance,5,On Time,1,28,34,34,No
a3a42b1b-bf7f-43d9-b63c,Station,Contactless,None,Standard,Off-Peak,10,On Time,14,1,35,35,No
ea7108cf-382b-4794-aa8c,Online,Contactless,None,Standard,Off-Peak,4,On Time,19,13,36,36,No
d8275e2a-8493-4b30-b6e0,Station,Contactless,None,Standard,Off-Peak,12,On Time,17,1,37,37,No
b7cf7da5-b4c2-4e24-897c,Online,Credit Card,None,Standard,Off-Peak,33,On Time,1,17,38,38,No
58a7ad60-8670-41a4-87ba,Online,Credit Card,Adult,Standard,Off-Peak,3,On Time,13,19,39,39,No
69eaff73-ca3a-4831-905b,Online,Credit Card,None,Standard,Advance,7,Cancelled,14,1,40,40,No
5f7dd36c-6a06-49bc-9ff6,Station,Credit Card,None,Standard,Off-Peak,4,On Time,19,13,41,41,No
5e9a7d23-03aa-4283-92b7,Station,Credit Card,Disabled,Standard,Anytime,4,On Time,13,19,42,42,No
15f1839c-33c7-4528-9e7b,Online,Credit Card,None,Standard,Anytime,70,On Time,15,32,43,43,No
cba78e3f-e1da-4e36-9b9e,Station,Contactless,None,Standard,Anytime,70,On Time,15,32,44,44,No
41327548-3375-456d-8c38,Station,Credit Card,None,Standard,Anytime,16,On Time,17,1,45,45,No
767314a0-f839-4607-a3d3,Station,Credit Card,None,First Class,Advance,134,Delayed,19,14,46,46,No
a9b958eb-96a2-482c-a58b,Online,Credit Card,Disabled,Standard,Anytime,29,On Time,1,17,47,47,No
4f8cc55f-6a99-4aee-b432,Station,Contactless,Adult,Standard,Anytime,47,On Time,15,32,48,48,No
d1bc1602-126f-4d9c-844b,Online,Credit Card,None,Standard,Anytime,70,On Time,15,32,49,49,No
721b269a-cde8-4732-9660,Online,Credit Card,None,Standard,Anytime,6,On Time,16,18,50,50,No
93aa0df7-c7f6-4a4d-b916,Station,Credit Card,None,Standard,Anytime,70,On Time,15,32,51,51,No
382d60f9-9fe0-4920-97e4,Station,Credit Card,None,Standard,Anytime,151,Delayed,13,14,52,52,No
a1bccead-6e5d-40da-8fff,Online,Credit Card,None,Standard,Anytime,16,On Time,17,1,53,53,No
1980a44e-8393-45ad-af0d,Station,Credit Card,None,Standard,Anytime,7,On Time,19,25,54,54,No
c259ac89-af76-4e8b-8983,Online,Contactless,None,Standard,Anytime,25,On Time,16,24,55,55,No
c0a64306-e4dc-49e1-9bc8,Online,Credit Card,None,Standard,Anytime,25,On Time,16,24,56,56,No
fbc2d08b-da84-4a2a-8ac3,Station,Credit Card,None,Standard,Off-Peak,5,On Time,13,19,57,57,No
7a3cd851-586a-4e7c-9c05,Online,Credit Card,Disabled,Standard,Advance,15,On Time,1,17,58,58,No
fcfb1bd4-7f21-4dd8-8cdd,Online,Credit Card,Disabled,Standard,Advance,21,On Time,17,31,59,59,No
d316a332-a071-4dfe-b17a,Online,Credit Card,None,Standard,Advance,3,On Time,19,13,60,60,No
a359c3a5-b9b6-4850-989d,Station,Credit Card,Senior,Standard,Off-Peak,7,On Time,14,1,61,61,No
711c08ba-eb61-44ba-821a,Station,Credit Card,None,First Class,Advance,134,Delayed,19,14,62,62,No
ad0028c4-0e4b-4863-a60b,Online,Credit Card,None,Standard,Off-Peak,53,On Time,15,32,63,63,No
1d704d30-6e8b-47f4-9dc4,Station,Contactless,Senior,Standard,Off-Peak,3,On Time,19,13,64,64,No
e46c007e-fe74-467f-b274,Online,Contactless,None,Standard,Off-Peak,12,On Time,17,1,65,65,No
1348ec1b-30cf-4135-acca,Station,Contactless,None,Standard,Off-Peak,19,On Time,16,24,66,66,No
060f4ea5-625c-46b5-9ed3,Station,Contactless,Senior,Standard,Anytime,3,On Time,19,13,67,67,No
782e098c-c36d-4696-9e8e,Station,Credit Card,Adult,Standard,Anytime,9,On Time,14,1,68,68,No
9082a416-480e-4ca4-bf9d,Station,Credit Card,None,Standard,Anytime,151,On Time,13,14,69,69,No
dffb36dc-c44b-4ad8-9f89,Online,Contactless,None,First Class,Anytime,20,On Time,13,19,70,70,No
fc64bf09-5c48-434b-b4e3,Station,Credit Card,None,First Class,Anytime,19,On Time,19,13,71,71,No
3ef7b8e5-cce4-478e-af39,Online,Credit Card,None,Standard,Advance,8,On Time,17,1,72,72,No
fdb5ad84-613f-4dc5-9665,Online,Credit Card,Adult,Standard,Anytime,4,On Time,13,19,73,73,No
5be3ae51-fe04-424d-b788,Online,Credit Card,None,First Class,Advance,54,On Time,17,1,74,74,No
757917d1-c865-4ed6-8e20,Online,Credit Card,None,Standard,Anytime,16,On Time,17,1,75,75,No
a88f097f-bda3-4394-9c7d,Station,Debit Card,Disabled,First Class,Advance,35,Cancelled,14,1,76,76,No
972bd9ae-3643-41ee-941c,Online,Credit Card,Adult,Standard,Advance,5,On Time,17,1,77,77,No
96a1e6fc-de4a-4bfc-908c,Station,Debit Card,None,Standard,Advance,8,On Time,17,1,78,78,No
0af810d4-5b61-44c9-bbdf,Station,Credit Card,None,First Class,Advance,54,On Time,17,1,79,79,No
7837fefa-5e1c-4a24-a6ac,Online,Credit Card,None,Standard,Advance,8,On Time,17,1,80,80,No
e98a19e1-88ba-4701-b2f4,Station,Contactless,None,First Class,Advance,57,On Time,15,32,81,81,No
0abbbeb2-364d-4e15-8c07,Station,Credit Card,None,Standard,Advance,3,On Time,19,13,82,82,No
7871fd56-e537-4828-aee9,Station,Credit Card,None,First Class,Advance,10,On Time,19,13,83,83,No
860de888-c861-4ff2-a531,Station,Contactless,None,Standard,Advance,3,On Time,13,19,84,84,No
4d9a02fd-a230-4a46-be11,Online,Contactless,Adult,First Class,Advance,6,On Time,19,13,85,85,No
454bbd30-83d7-403f-ad59,Station,Credit Card,None,First Class,Advance,54,On Time,17,1,86,86,No
f38532b2-cfb6-478c-ae1c,Station,Credit Card,Adult,Standard,Off-Peak,17,On Time,22,2,87,87,No
30633df2-dd57-4473-84ba,Online,Contactless,None,Standard,Off-Peak,11,On Time,32,8,88,88,No
86b1f064-06a4-4152-9b81,Station,Credit Card,Adult,Standard,Off-Peak,84,On Time,19,14,89,89,No
5ec99341-0955-41dc-92b2,Online,Contactless,None,Standard,Off-Peak,11,On Time,32,8,90,90,No
148cc904-8fa9-4e28-ac1e,Online,Credit Card,None,First Class,Off-Peak,41,On Time,16,24,91,91,No
8a66ead7-e381-4311-b667,Online,Credit Card,None,Standard,Off-Peak,10,Cancelled,14,1,92,92,Yes
97c7b22b-ff75-43b0-b296,Online,Credit Card,None,Standard,Advance,3,On Time,13,19,93,93,No
b63a3586-29cc-43ea-905d,Online,Contactless,None,Standard,Off-Peak,4,On Time,19,13,94,94,No
935dd774-378e-49a1-87cf,Online,Contactless,Disabled,Standard,Advance,23,On Time,15,32,95,95,No
f3a6143f-0d4e-40df-83b0,Online,Contactless,Disabled,Standard,Advance,5,On Time,32,8,96,96,No
bb416517-39a2-4db5-b9be,Online,Credit Card,None,Standard,Off-Peak,5,On Time,13,19,97,97,No
