Journey ID,Journey_Date,Departure Time,Arrival Time,Actual Arrival Time,Reason for Delay,key
1,1/1/2024,11:00:00,13:30:00,13:30:00,no delay,2024-01-01 11:00:00 13:30:00 13:30:00 no delay
2,1/1/2024,9:45:00,11:35:00,11:40:00,Signal Failure,2024-01-01 09:45:00 11:35:00 11:40:00 Signal Failure
3,2/2/2024,18:15:00,18:45:00,18:45:00,no delay,2024-02-02 18:15:00 18:45:00 18:45:00 no delay
4,1/1/2024,21:30:00,22:30:00,22:30:00,no delay,2024-01-01 21:30:00 22:30:00 22:30:00 no delay
5,1/1/2024,16:45:00,19:00:00,19:00:00,no delay,2024-01-01 16:45:00 19:00:00 19:00:00 no delay
6,1/1/2024,6:15:00,8:05:00,8:05:00,no delay,2024-01-01 06:15:00 08:05:00 08:05:00 no delay
7,1/1/2024,22:30:00,23:40:00,23:40:00,no delay,2024-01-01 22:30:00 23:40:00 23:40:00 no delay
8,1/1/2024,0:00:00,0:30:00,0:30:00,no delay,2024-01-01 00:00:00 00:30:00 00:30:00 no delay
9,1/1/2024,0:00:00,1:50:00,2:07:00,Signal Failure,2024-01-01 00:00:00 01:50:00 02:07:00 Signal Failure
10,1/1/2024,1:30:00,2:30:00,2:30:00,no delay,2024-01-01 01:30:00 02:30:00 02:30:00 no delay
11,1/1/2024,1:45:00,2:35:00,2:35:00,no delay,2024-01-01 01:45:00 02:35:00 02:35:00 no delay
12,1/1/2024,2:15:00,3:15:00,3:15:00,no delay,2024-01-01 02:15:00 03:15:00 03:15:00 no delay
13,1/1/2024,4:15:00,4:45:00,4:45:00,no delay,2024-01-01 04:15:00 04:45:00 04:45:00 no delay
14,1/1/2024,5:00:00,5:30:00,5:30:00,no delay,2024-01-01 05:00:00 05:30:00 05:30:00 no delay
15,1/1/2024,6:30:00,7:50:00,7:50:00,no delay,2024-01-01 06:30:00 07:50:00 07:50:00 no delay
16,1/1/2024,7:45:00,8:45:00,8:45:00,no delay,2024-01-01 07:45:00 08:45:00 08:45:00 no delay
17,1/1/2024,7:30:00,8:50:00,8:50:00,no delay,2024-01-01 07:30:00 08:50:00 08:50:00 no delay
18,1/1/2024,7:30:00,9:20:00,9:20:00,no delay,2024-01-01 07:30:00 09:20:00 09:20:00 no delay
19,1/1/2024,9:00:00,10:50:00,10:50:00,no delay,2024-01-01 09:00:00 10:50:00 10:50:00 no delay
20,1/1/2024,11:15:00,12:35:00,13:06:00,Technical Issue,2024-01-01 11:15:00 12:35:00 13:06:00 Technical Issue
21,1/1/2024,10:30:00,11:00:00,11:00:00,no delay,2024-01-01 10:30:00 11:00:00 11:00:00 no delay
22,1/1/2024,9:30:00,11:20:00,11:20:00,no delay,2024-01-01 09:30:00 11:20:00 11:20:00 no delay
23,1/1/2024,12:45:00,14:05:00,14:05:00,no delay,2024-01-01 12:45:00 14:05:00 14:05:00 no delay
24,1/1/2024,13:15:00,14:35:00,14:35:00,no delay,2024-01-01 13:15:00 14:35:00 14:35:00 no delay
25,1/1/2024,13:45:00,16:00:00,16:00:00,no delay,2024-01-01 13:45:00 16:00:00 16:00:00 no delay
26,1/1/2024,14:15:00,15:30:00,15:54:00,Signal Failure,2024-01-01 14:15:00 15:30:00 15:54:00 Signal Failure
27,1/1/2024,15:00:00,16:00:00,16:00:00,no delay,2024-01-01 15:00:00 16:00:00 16:00:00 no delay
28,1/1/2024,16:30:00,17:50:00,17:50:00,no delay,2024-01-01 16:30:00 17:50:00 17:50:00 no delay
29,1/1/2024,17:00:00,18:50:00,18:50:00,no delay,2024-01-01 17:00:00 18:50:00 18:50:00 no delay
30,1/1/2024,17:45:00,19:05:00,19:05:00,no delay,2024-01-01 17:45:00 19:05:00 19:05:00 no delay
31,1/1/2024,18:15:00,19:15:00,19:15:00,no delay,2024-01-01 18:15:00 19:15:00 19:15:00 no delay
32,1/1/2024,17:45:00,19:35:00,19:35:00,no delay,2024-01-01 17:45:00 19:35:00 19:35:00 no delay
33,1/1/2024,18:45:00,19:05:00,19:05:00,no delay,2024-01-01 18:45:00 19:05:00 19:05:00 no delay
34,1/1/2024,23:30:00,0:50:00,0:50:00,no delay,2024-01-01 23:30:00 00:50:00 00:50:00 no delay
35,1/1/2024,2:45:00,3:15:00,3:15:00,no delay,2024-01-01 02:45:00 03:15:00 03:15:00 no delay
36,1/1/2024,4:30:00,5:50:00,5:50:00,no delay,2024-01-01 04:30:00 05:50:00 05:50:00 no delay
37,1/2/2024,2:15:00,3:35:00,5:30:00,Technical Issue,2024-01-02 02:15:00 03:35:00 05:30:00 Technical Issue
38,1/1/2024,5:30:00,6:00:00,6:00:00,no delay,2024-01-01 05:30:00 06:00:00 06:00:00 no delay
39,1/1/2024,6:00:00,6:30:00,6:30:00,no delay,2024-01-01 06:00:00 06:30:00 06:30:00 no delay
40,1/1/2024,6:30:00,8:20:00,8:20:00,no delay,2024-01-01 06:30:00 08:20:00 08:20:00 no delay
41,1/2/2024,3:30:00,5:20:00,5:31:00,Weather Conditions,2024-01-02 03:30:00 05:20:00 05:31:00 Weather Conditions
42,1/1/2024,6:45:00,8:35:00,8:35:00,no delay,2024-01-01 06:45:00 08:35:00 08:35:00 no delay
43,1/1/2024,7:30:00,9:00:00,9:00:00,no delay,2024-01-01 07:30:00 09:00:00 09:00:00 no delay
44,1/1/2024,7:45:00,9:35:00,9:35:00,no delay,2024-01-01 07:45:00 09:35:00 09:35:00 no delay
45,1/1/2024,8:00:00,10:15:00,10:39:00,Weather,2024-01-01 08:00:00 10:15:00 10:39:00 Weather
46,1/1/2024,8:00:00,9:20:00,9:20:00,no delay,2024-01-01 08:00:00 09:20:00 09:20:00 no delay
47,1/1/2024,8:15:00,9:00:00,9:00:00,no delay,2024-01-01 08:15:00 09:00:00 09:00:00 no delay
48,1/1/2024,8:45:00,9:45:00,9:45:00,no delay,2024-01-01 08:45:00 09:45:00 09:45:00 no delay
49,1/1/2024,9:15:00,9:45:00,9:45:00,no delay,2024-01-01 09:15:00 09:45:00 09:45:00 no delay
50,1/2/2024,6:30:00,7:50:00,7:50:00,no delay,2024-01-02 06:30:00 07:50:00 07:50:00 no delay
51,1/2/2024,6:30:00,8:00:00,8:00:00,no delay,2024-01-02 06:30:00 08:00:00 08:00:00 no delay
52,1/2/2024,7:45:00,8:15:00,8:15:00,no delay,2024-01-02 07:45:00 08:15:00 08:15:00 no delay
53,1/1/2024,9:45:00,11:05:00,11:05:00,no delay,2024-01-01 09:45:00 11:05:00 11:05:00 no delay
54,1/2/2024,8:00:00,9:50:00,10:08:00,Weather,2024-01-02 08:00:00 09:50:00 10:08:00 Weather
55,1/1/2024,11:45:00,13:35:00,13:35:00,no delay,2024-01-01 11:45:00 13:35:00 13:35:00 no delay
56,1/1/2024,13:15:00,13:45:00,13:45:00,no delay,2024-01-01 13:15:00 13:45:00 13:45:00 no delay
57,1/1/2024,14:15:00,15:35:00,15:35:00,no delay,2024-01-01 14:15:00 15:35:00 15:35:00 no delay
58,1/1/2024,15:30:00,16:30:00,16:30:00,no delay,2024-01-01 15:30:00 16:30:00 16:30:00 no delay
59,1/1/2024,16:00:00,16:30:00,16:30:00,no delay,2024-01-01 16:00:00 16:30:00 16:30:00 no delay
60,1/1/2024,16:00:00,17:20:00,17:20:00,no delay,2024-01-01 16:00:00 17:20:00 17:20:00 no delay
61,1/1/2024,17:00:00,19:15:00,19:15:00,no delay,2024-01-01 17:00:00 19:15:00 19:15:00 no delay
62,1/1/2024,17:15:00,17:45:00,17:45:00,no delay,2024-01-01 17:15:00 17:45:00 17:45:00 no delay
63,1/1/2024,17:45:00,18:15:00,18:15:00,no delay,2024-01-01 17:45:00 18:15:00 18:15:00 no delay
64,1/2/2024,15:00:00,16:20:00,16:20:00,no delay,2024-01-02 15:00:00 16:20:00 16:20:00 no delay
65,1/1/2024,18:30:00,19:00:00,19:00:00,no delay,2024-01-01 18:30:00 19:00:00 19:00:00 no delay
66,1/2/2024,15:30:00,16:50:00,16:50:00,no delay,2024-01-02 15:30:00 16:50:00 16:50:00 no delay
67,1/1/2024,18:45:00,20:05:00,20:05:00,no delay,2024-01-01 18:45:00 20:05:00 20:05:00 no delay
68,1/2/2024,16:00:00,17:20:00,20:05:00,Technical Issue,2024-01-02 16:00:00 17:20:00 20:05:00 Technical Issue
69,1/2/2024,17:00:00,18:20:00,18:20:00,no delay,2024-01-02 17:00:00 18:20:00 18:20:00 no delay
70,1/2/2024,17:45:00,19:05:00,19:05:00,no delay,2024-01-02 17:45:00 19:05:00 19:05:00 no delay
71,1/2/2024,18:00:00,19:20:00,19:20:00,no delay,2024-01-02 18:00:00 19:20:00 19:20:00 no delay
72,1/2/2024,18:45:00,20:05:00,20:05:00,no delay,2024-01-02 18:45:00 20:05:00 20:05:00 no delay
73,1/2/2024,17:45:00,19:35:00,19:35:00,no delay,2024-01-02 17:45:00 19:35:00 19:35:00 no delay
74,1/2/2024,19:15:00,19:45:00,19:45:00,no delay,2024-01-02 19:15:00 19:45:00 19:45:00 no delay
75,1/2/2024,20:15:00,20:45:00,20:45:00,no delay,2024-01-02 20:15:00 20:45:00 20:45:00 no delay
76,1/2/2024,0:00:00,0:30:00,0:30:00,no delay,2024-01-02 00:00:00 00:30:00 00:30:00 no delay
77,1/2/2024,0:30:00,1:50:00,1:50:00,no delay,2024-01-02 00:30:00 01:50:00 01:50:00 no delay
78,1/2/2024,22:30:00,23:45:00,23:45:00,no delay,2024-01-02 22:30:00 23:45:00 23:45:00 no delay
79,1/2/2024,1:45:00,2:35:00,2:35:00,no delay,2024-01-02 01:45:00 02:35:00 02:35:00 no delay
