Time ID,Purchase_Date,Time of Purchase,Date,Day,Month,Year,Time of Day,key
1,12/8/2023,12:41:11,12/8/2023,8,12,2023,12:41:11,12/8/2023 12:41
2,12/16/2023,11:23:01,12/16/2023,16,12,2023,11:23:01,12/16/2023 11:23
3,12/19/2023,19:51:27,12/19/2023,19,12,2023,19:51:27,12/19/2023 19:51
4,12/20/2023,23:00:36,12/20/2023,20,12,2023,23:00:36,12/20/2023 23:00
5,12/27/2023,18:22:56,12/27/2023,27,12,2023,18:22:56,12/27/2023 18:22
6,12/30/2023,7:56:06,12/30/2023,30,12,2023,7:56:06,12/30/2023 7:56
7,12/31/2023,0:02:01,12/31/2023,31,12,2023,0:02:01,12/31/2023 0:02
8,12/31/2023,1:35:18,12/31/2023,31,12,2023,1:35:18,12/31/2023 1:35
9,12/31/2023,1:43:09,12/31/2023,31,12,2023,1:43:09,12/31/2023 1:43
10,12/31/2023,3:05:52,12/31/2023,31,12,2023,3:05:52,12/31/2023 3:05
11,12/31/2023,3:26:37,12/31/2023,31,12,2023,3:26:37,12/31/2023 3:26
12,12/31/2023,3:52:11,12/31/2023,31,12,2023,3:52:11,12/31/2023 3:52
13,12/31/2023,5:55:22,12/31/2023,31,12,2023,5:55:22,12/31/2023 5:55
14,12/31/2023,6:44:35,12/31/2023,31,12,2023,6:44:35,12/31/2023 6:44
15,12/31/2023,8:05:50,12/31/2023,31,12,2023,8:05:50,12/31/2023 8:05
16,12/31/2023,8:16:53,12/31/2023,31,12,2023,8:16:53,12/31/2023 8:16
17,12/31/2023,8:23:15,12/31/2023,31,12,2023,8:23:15,12/31/2023 8:23
18,12/31/2023,9:09:20,12/31/2023,31,12,2023,9:09:20,12/31/2023 9:09
19,12/31/2023,9:12:21,12/31/2023,31,12,2023,9:12:21,12/31/2023 9:12
20,12/31/2023,10:42:22,12/31/2023,31,12,2023,10:42:22,12/31/2023 10:42
21,12/31/2023,11:57:15,12/31/2023,31,12,2023,11:57:15,12/31/2023 11:57
22,12/31/2023,12:11:47,12/31/2023,31,12,2023,12:11:47,12/31/2023 12:11
23,12/31/2023,13:33:39,12/31/2023,31,12,2023,13:33:39,12/31/2023 13:33
24,12/31/2023,14:23:09,12/31/2023,31,12,2023,14:23:09,12/31/2023 14:23
25,12/31/2023,14:53:44,12/31/2023,31,12,2023,14:53:44,12/31/2023 14:53
26,12/31/2023,15:19:53,12/31/2023,31,12,2023,15:19:53,12/31/2023 15:19
27,12/31/2023,15:53:46,12/31/2023,31,12,2023,15:53:46,12/31/2023 15:53
28,12/31/2023,16:44:05,12/31/2023,31,12,2023,16:44:05,12/31/2023 16:44
29,12/31/2023,18:01:58,12/31/2023,31,12,2023,18:01:58,12/31/2023 18:01
30,12/31/2023,18:39:00,12/31/2023,31,12,2023,18:39:00,12/31/2023 18:39
