Transaction ID,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station ID,Arrival Station ID,Time ID,Journey Status,Journey ID
da8a6ba8-b3dc-4677-b176,Online,Contactless,Adult,Standard,Advance,43,1,3,,On Time,
b0cdd1b0-f214-4197-be53,Station,Credit Card,Adult,Standard,Advance,43,2,5,,Delayed,
f3ba7a96-f713-40d9-9629,Online,Credit Card,,Standard,Advance,3,3,6,,On Time,
b2471f11-4fe7-4c87-8ab4,Station,Credit Card,,Standard,Advance,13,1,10,,On Time,
2be00b45-0762-485e-a7a3,Online,Contactless,,Standard,Advance,76,3,4,,On Time,
4e1dcd88-3d95-44ef-99fa,Online,Credit Card,,Standard,Advance,35,2,5,,On Time,
1c74479d-85a4-4ba1-a607,Station,Credit Card,Adult,Standard,Advance,2,4,9,,On Time,
febf8dab-f808-46fa-bf2b,Station,Contactless,Disabled,Standard,Advance,2,3,6,,On Time,
01df916f-4291-41ec-a37d,Station,Credit Card,,Standard,Advance,37,4,5,,Delayed,
a8cedba7-1923-459d-b046,Online,Credit Card,,Standard,Advance,13,1,10,,On Time,
b3e5ca7d-e76c-49f2-b49f,Online,Contactless,,Standard,Advance,8,5,13,,On Time,
6c63f7ac-d590-4356-9eaa,Online,Contactless,Adult,Standard,Advance,8,1,10,,On Time,
2e7add75-566a-41aa-9468,Online,Contactless,,Standard,Advance,3,6,3,,On Time,
7ed9b545-eb6f-49b2-9b5a,Online,Contactless,,Standard,Advance,3,6,3,,On Time,
2e05e2a6-88a8-40fb-bacc,Online,Credit Card,Disabled,Standard,Advance,15,7,8,,On Time,
8a18d3b4-995e-49bf-93a3,Online,Credit Card,,Standard,Advance,13,1,10,,On Time,
7493a611-342a-4b17-90dc,Online,Credit Card,,Standard,Advance,13,1,10,,On Time,
054676ac-a976-4909-a26e,Online,Credit Card,,Standard,Advance,8,8,7,,On Time,
6b62b452-c491-468d-b39c,Online,Credit Card,,Standard,Advance,35,2,5,,On Time,
85e38992-6c6c-4569-914e,Online,Credit Card,,Standard,Advance,35,2,5,,On Time,
8dfbf0fc-aea0-424f-b30e,Station,Debit Card,Adult,Standard,Advance,7,7,6,,Delayed,
a478f358-044d-4000-b70e,Station,Credit Card,Disabled,Standard,Advance,2,3,6,,On Time,
d4ea6940-7228-41ef-9eae,Online,Credit Card,Senior,Standard,Advance,23,2,5,,On Time,
89f2160c-666b-4925-86b6,Station,Contactless,,Standard,Advance,7,4,7,,On Time,
fd00a134-7056-441c-919f,Online,Credit Card,,Standard,Advance,7,4,7,,On Time,
842da93c-b820-42dc-ad4f,Online,Contactless,,Standard,Advance,86,6,1,,On Time,
74462231-5241-46f4-8328,Online,Credit Card,Senior,First Class,Advance,34,9,12,,Delayed,
7267c284-5f19-41ef-8350,Station,Credit Card,,Standard,Advance,13,1,10,,On Time,
3c375a4c-7ba3-45e9-a9cd,Online,Contactless,,Standard,Advance,7,4,7,,On Time,
5b0638b1-ee1d-4a6f-8c29,Online,Credit Card,,First Class,Advance,57,2,5,,On Time,
e40c1f61-b648-41c2-8151,Station,Debit Card,,Standard,Advance,8,8,7,,On Time,
aa40e9b5-3ab7-4d40-a949,Online,Credit Card,,Standard,Advance,13,1,10,,On Time,
be8bee7f-2e6f-450e-90ed,Station,Contactless,,Standard,Advance,35,2,5,,On Time,
14792f87-d2ad-47be-8cdb,Online,Credit Card,,Standard,Advance,5,7,14,,On Time,
a3a42b1b-bf7f-43d9-b63c,Station,Contactless,,Standard,Off-Peak,10,4,7,,On Time,
ea7108cf-382b-4794-aa8c,Online,Contactless,,Standard,Off-Peak,4,6,3,,On Time,
d8275e2a-8493-4b30-b6e0,Station,Contactless,,Standard,Off-Peak,12,8,7,,On Time,
b7cf7da5-b4c2-4e24-897c,Online,Credit Card,,Standard,Off-Peak,33,7,8,,On Time,
58a7ad60-8670-41a4-87ba,Online,Credit Card,Adult,Standard,Off-Peak,3,3,6,,On Time,
69eaff73-ca3a-4831-905b,Online,Credit Card,,Standard,Advance,7,4,7,,Cancelled,
5f7dd36c-6a06-49bc-9ff6,Station,Credit Card,,Standard,Off-Peak,4,6,3,,On Time,
5e9a7d23-03aa-4283-92b7,Station,Credit Card,Disabled,Standard,Anytime,4,3,6,,On Time,
15f1839c-33c7-4528-9e7b,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
cba78e3f-e1da-4e36-9b9e,Station,Contactless,,Standard,Anytime,70,2,5,,On Time,
41327548-3375-456d-8c38,Station,Credit Card,,Standard,Anytime,16,8,7,,On Time,
767314a0-f839-4607-a3d3,Station,Credit Card,,First Class,Advance,134,6,4,,Delayed,
a9b958eb-96a2-482c-a58b,Online,Credit Card,Disabled,Standard,Anytime,29,7,8,,On Time,
4f8cc55f-6a99-4aee-b432,Station,Contactless,Adult,Standard,Anytime,47,2,5,,On Time,
d1bc1602-126f-4d9c-844b,Online,Credit Card,,Standard,Anytime,70,2,5,,On Time,
721b269a-cde8-4732-9660,Online,Credit Card,,Standard,Anytime,6,1,15,,On Time,
93aa0df7-c7f6-4a4d-b916,Station,Credit Card,,Standard,Anytime,70,2,5,,On Time,
382d60f9-9fe0-4920-97e4,Station,Credit Card,,Standard,Anytime,151,3,4,,Delayed,
a1bccead-6e5d-40da-8fff,Online,Credit Card,,Standard,Anytime,16,8,7,,On Time,
1980a44e-8393-45ad-af0d,Station,Credit Card,,Standard,Anytime,7,6,16,,On Time,
c259ac89-af76-4e8b-8983,Online,Contactless,,Standard,Anytime,25,1,10,,On Time,
c0a64306-e4dc-49e1-9bc8,Online,Credit Card,,Standard,Anytime,25,1,10,,On Time,
fbc2d08b-da84-4a2a-8ac3,Station,Credit Card,,Standard,Off-Peak,5,3,6,,On Time,
7a3cd851-586a-4e7c-9c05,Online,Credit Card,Disabled,Standard,Advance,15,7,8,,On Time,
fcfb1bd4-7f21-4dd8-8cdd,Online,Credit Card,Disabled,Standard,Advance,21,8,17,,On Time,
d316a332-a071-4dfe-b17a,Online,Credit Card,,Standard,Advance,3,6,3,,On Time,
a359c3a5-b9b6-4850-989d,Station,Credit Card,Senior,Standard,Off-Peak,7,4,7,,On Time,
711c08ba-eb61-44ba-821a,Station,Credit Card,,First Class,Advance,134,6,4,,Delayed,
ad0028c4-0e4b-4863-a60b,Online,Credit Card,,Standard,Off-Peak,53,2,5,,On Time,
1d704d30-6e8b-47f4-9dc4,Station,Contactless,Senior,Standard,Off-Peak,3,6,3,,On Time,
e46c007e-fe74-467f-b274,Online,Contactless,,Standard,Off-Peak,12,8,7,,On Time,
1348ec1b-30cf-4135-acca,Station,Contactless,,Standard,Off-Peak,19,1,10,,On Time,
060f4ea5-625c-46b5-9ed3,Station,Contactless,Senior,Standard,Anytime,3,6,3,,On Time,
782e098c-c36d-4696-9e8e,Station,Credit Card,Adult,Standard,Anytime,9,4,7,,On Time,
9082a416-480e-4ca4-bf9d,Station,Credit Card,,Standard,Anytime,151,3,4,,On Time,
dffb36dc-c44b-4ad8-9f89,Online,Contactless,,First Class,Anytime,20,3,6,,On Time,
fc64bf09-5c48-434b-b4e3,Station,Credit Card,,First Class,Anytime,19,6,3,,On Time,
3ef7b8e5-cce4-478e-af39,Online,Credit Card,,Standard,Advance,8,8,7,,On Time,
fdb5ad84-613f-4dc5-9665,Online,Credit Card,Adult,Standard,Anytime,4,3,6,,On Time,
5be3ae51-fe04-424d-b788,Online,Credit Card,,First Class,Advance,54,8,7,,On Time,
757917d1-c865-4ed6-8e20,Online,Credit Card,,Standard,Anytime,16,8,7,,On Time,
a88f097f-bda3-4394-9c7d,Station,Debit Card,Disabled,First Class,Advance,35,4,7,,Cancelled,
972bd9ae-3643-41ee-941c,Online,Credit Card,Adult,Standard,Advance,5,8,7,,On Time,
96a1e6fc-de4a-4bfc-908c,Station,Debit Card,,Standard,Advance,8,8,7,,On Time,
0af810d4-5b61-44c9-bbdf,Station,Credit Card,,First Class,Advance,54,8,7,,On Time,
7837fefa-5e1c-4a24-a6ac,Online,Credit Card,,Standard,Advance,8,8,7,,On Time,
e98a19e1-88ba-4701-b2f4,Station,Contactless,,First Class,Advance,57,2,5,,On Time,
0abbbeb2-364d-4e15-8c07,Station,Credit Card,,Standard,Advance,3,6,3,,On Time,
7871fd56-e537-4828-aee9,Station,Credit Card,,First Class,Advance,10,6,3,,On Time,
860de888-c861-4ff2-a531,Station,Contactless,,Standard,Advance,3,3,6,,On Time,
4d9a02fd-a230-4a46-be11,Online,Contactless,Adult,First Class,Advance,6,6,3,,On Time,
454bbd30-83d7-403f-ad59,Station,Credit Card,,First Class,Advance,54,8,7,,On Time,
f38532b2-cfb6-478c-ae1c,Station,Credit Card,Adult,Standard,Off-Peak,17,9,12,,On Time,
30633df2-dd57-4473-84ba,Online,Contactless,,Standard,Off-Peak,11,5,13,,On Time,
86b1f064-06a4-4152-9b81,Station,Credit Card,Adult,Standard,Off-Peak,84,6,4,,On Time,
5ec99341-0955-41dc-92b2,Online,Contactless,,Standard,Off-Peak,11,5,13,,On Time,
148cc904-8fa9-4e28-ac1e,Online,Credit Card,,First Class,Off-Peak,41,1,10,,On Time,
8a66ead7-e381-4311-b667,Online,Credit Card,,Standard,Off-Peak,10,4,7,,Cancelled,
97c7b22b-ff75-43b0-b296,Online,Credit Card,,Standard,Advance,3,3,6,,On Time,
b63a3586-29cc-43ea-905d,Online,Contactless,,Standard,Off-Peak,4,6,3,,On Time,
935dd774-378e-49a1-87cf,Online,Contactless,Disabled,Standard,Advance,23,2,5,,On Time,
f3a6143f-0d4e-40df-83b0,Online,Contactless,Disabled,Standard,Advance,5,5,13,,On Time,
bb416517-39a2-4db5-b9be,Online,Credit Card,,Standard,Off-Peak,5,3,6,,On Time,
5579a244-2516-4511-8b57,Online,Contactless,Disabled,Standard,Advance,5,5,13,,On Time,
2a2eb6c9-689e-473d-9e6c,Online,Contactless,Adult,First Class,Advance,6,6,3,,On Time,
7703c1a2-5115-436c-9bc6,Station,Credit Card,,Standard,Advance,3,3,6,,On Time,
97e4266f-7f58-4a5f-9969,Station,Credit Card,,Standard,Off-Peak,19,1,10,,On Time,
c57dd321-4e2f-46c0-8cfb,Station,Credit Card,,First Class,Off-Peak,200,6,4,,Delayed,
4ddb887e-c15d-48f2-96af,Online,Contactless,Disabled,Standard,Advance,2,3,6,,On Time,
17027141-9b2d-42b1-a4c9,Online,Contactless,Disabled,Standard,Advance,5,8,7,,On Time,
